SKU,Product_Name,Category,Purchase_Price,Selling_Price,Avg_Price,Stock_Qty
SKU-52,Full Coverage Foundation,Cosmetics,105.25,163.40,134.32,264
SKU-53,Whole Wheat Bread,Food,32.86,43.26,38.06,551
SKU-54,Night Repair Serum,Skincare,497.52,557.25,527.38,617
SKU-55,Dry Shampoo,Haircare,159.28,282.90,221.09,681
SKU-56,Matte Liquid Lipstick,Cosmetics,100.89,113.26,107.08,290
SKU-57,Gentle Face Cleanser,Skincare,281.33,385.66,333.50,571
SKU-58,USB-C Charging Cable,Electronics,31.03,46.15,38.59,513
SKU-59,Revitalizing Hair Serum,Haircare,153.34,242.60,197.97,124
SKU-60,LED 24-inch Monitor,Electronics,133.89,203.43,168.66,147
SKU-61,Strengthening Shampoo,Haircare,211.63,262.95,237.29,117
SKU-62,Gentle Face Cleanser,Skincare,317.16,370.46,343.81,885
SKU-63,Heat Protectant Spray,Haircare,89.43,133.78,111.60,839
SKU-64,Basmati Rice,Food,80.15,122.51,101.33,594
SKU-65,Volumizing Mascara,Cosmetics,141.11,193.09,167.10,458
SKU-66,Organic Apple,Food,204.90,364.95,284.92,502
SKU-67,Argan Oil Conditioner,Haircare,259.18,424.75,341.96,975
SKU-68,USB-C Charging Cable,Electronics,137.69,186.36,162.02,606
SKU-69,Blush Palette,Cosmetics,256.41,374.55,315.48,223
SKU-70,Alcohol-Free Toner,Skincare,122.09,219.51,170.80,875
SKU-71,Matte Liquid Lipstick,Cosmetics,430.19,594.58,512.38,984
SKU-72,Bluetooth Speaker,Electronics,429.34,495.58,462.46,553
SKU-73,Whole Wheat Bread,Food,98.24,140.69,119.46,88
SKU-74,Night Repair Serum,Skincare,349.28,417.74,383.51,572
SKU-75,LED 24-inch Monitor,Electronics,441.70,562.52,502.11,995
SKU-76,Hydrating Moisturizer,Skincare,82.84,143.21,113.02,612
SKU-77,Gentle Face Cleanser,Skincare,247.32,383.12,315.22,90
SKU-78,Waterproof Eyeliner,Cosmetics,207.38,234.56,220.97,441
SKU-79,Basmati Rice,Food,478.59,538.51,508.55,563
SKU-80,LED 24-inch Monitor,Electronics,405.86,472.45,439.16,703
SKU-81,Hydrating Moisturizer,Skincare,474.53,726.30,600.42,681
SKU-82,Fresh Milk,Food,351.56,420.36,385.96,65
SKU-83,Whole Wheat Bread,Food,223.76,365.25,294.50,865
SKU-84,Portable Power Bank,Electronics,285.00,379.53,332.26,269
SKU-85,Alcohol-Free Toner,Skincare,294.86,520.55,407.70,481
SKU-86,Hydrating Moisturizer,Skincare,121.10,214.29,167.70,997
SKU-87,Gentle Face Cleanser,Skincare,424.40,487.55,455.98,413
SKU-88,Waterproof Eyeliner,Cosmetics,274.44,373.80,324.12,728
SKU-89,Revitalizing Hair Serum,Haircare,316.43,398.48,357.46,441
SKU-90,Extra Virgin Olive Oil,Food,485.11,786.00,635.56,350
SKU-91,Hydrating Moisturizer,Skincare,376.32,674.02,525.17,133
SKU-92,Gentle Face Cleanser,Skincare,152.75,190.51,171.63,53
SKU-93,Sunscreen SPF50,Skincare,429.48,751.30,590.39,617
SKU-94,Revitalizing Hair Serum,Haircare,288.95,513.12,401.04,197
SKU-95,LED 24-inch Monitor,Electronics,29.56,37.39,33.48,291
SKU-96,Hydrating Moisturizer,Skincare,85.40,103.64,94.52,741
SKU-97,Bluetooth Speaker,Electronics,320.11,561.75,440.93,554
SKU-98,USB-C Charging Cable,Electronics,386.09,530.51,458.30,863
SKU-99,Blush Palette,Cosmetics,128.89,226.85,177.87,622
SKU-100,Dry Shampoo,Haircare,495.26,822.74,659.00,769
SKU-101,Organic Apple,Food,194.77,322.08,258.42,89
SKU-102,Full Coverage Foundation,Cosmetics,247.30,444.75,346.02,118
SKU-103,Whole Wheat Bread,Food,376.49,592.29,484.39,733
SKU-104,Basmati Rice,Food,61.43,85.55,73.49,761
SKU-105,Alcohol-Free Toner,Skincare,118.01,179.75,148.88,287
SKU-106,Matte Liquid Lipstick,Cosmetics,446.63,555.06,500.84,850
SKU-107,Fresh Milk,Food,290.29,466.76,378.52,996
SKU-108,Whole Wheat Bread,Food,273.92,458.95,366.44,776
SKU-109,Blush Palette,Cosmetics,395.66,681.45,538.56,725
SKU-110,Volumizing Mascara,Cosmetics,393.95,495.92,444.94,281
SKU-111,Organic Apple,Food,64.41,84.00,74.20,251
SKU-112,Full Coverage Foundation,Cosmetics,496.40,599.32,547.86,718
SKU-113,Whole Wheat Bread,Food,346.12,400.57,373.34,800
SKU-114,Blush Palette,Cosmetics,184.78,329.92,257.35,986
SKU-115,Alcohol-Free Toner,Skincare,347.61,474.20,410.90,616
SKU-116,Hydrating Moisturizer,Skincare,153.07,269.38,211.22,30
SKU-117,Fresh Milk,Food,376.52,574.93,475.72,22
SKU-118,Heat Protectant Spray,Haircare,164.81,217.44,191.12,952
SKU-119,Night Repair Serum,Skincare,472.55,760.21,616.38,179
SKU-120,Volumizing Mascara,Cosmetics,350.51,514.11,432.31,884
SKU-121,Organic Apple,Food,35.41,54.44,44.92,418
SKU-122,Fresh Milk,Food,449.82,519.71,484.76,373
SKU-123,Whole Wheat Bread,Food,132.28,185.67,158.98,590
SKU-124,Night Repair Serum,Skincare,321.98,533.53,427.76,456
SKU-125,LED 24-inch Monitor,Electronics,327.26,555.91,441.58,805
SKU-126,Hydrating Moisturizer,Skincare,475.40,817.42,646.41,246
SKU-127,Fresh Milk,Food,129.59,222.19,175.89,674
SKU-128,USB-C Charging Cable,Electronics,332.05,390.14,361.10,745
SKU-129,Basmati Rice,Food,115.98,136.04,126.01,161
SKU-130,Volumizing Mascara,Cosmetics,448.22,569.16,508.69,772
SKU-131,Wireless Mouse,Electronics,146.92,181.47,164.20,84
SKU-132,Argan Oil Conditioner,Haircare,185.28,274.05,229.67,902
SKU-133,Whole Wheat Bread,Food,355.76,577.26,466.51,463
SKU-134,Blush Palette,Cosmetics,438.49,532.14,485.32,626
SKU-135,Alcohol-Free Toner,Skincare,161.92,184.60,173.26,793
SKU-136,Hydrating Moisturizer,Skincare,334.78,572.09,453.44,705
SKU-137,Argan Oil Conditioner,Haircare,315.89,358.39,337.14,774
SKU-138,Sunscreen SPF50,Skincare,247.04,436.39,341.72,655
SKU-139,Night Repair Serum,Skincare,14.11,24.26,19.19,979
SKU-140,LED 24-inch Monitor,Electronics,223.11,266.48,244.80,852
SKU-141,Strengthening Shampoo,Haircare,389.01,544.38,466.70,660
SKU-142,Fresh Milk,Food,265.69,306.19,285.94,952
SKU-143,Waterproof Eyeliner,Cosmetics,124.43,185.78,155.11,263
SKU-144,Basmati Rice,Food,300.11,336.97,318.54,154
SKU-145,Volumizing Mascara,Cosmetics,430.79,690.42,560.60,22
SKU-146,Organic Apple,Food,104.18,153.36,128.77,545
SKU-147,Argan Oil Conditioner,Haircare,66.09,112.45,89.27,983
SKU-148,Waterproof Eyeliner,Cosmetics,239.21,360.22,299.72,65
SKU-149,Portable Power Bank,Electronics,370.80,411.51,391.16,517
SKU-150,Alcohol-Free Toner,Skincare,249.25,373.50,311.38,474
SKU-151,Hydrating Moisturizer,Skincare,174.42,257.37,215.90,898
SKU-152,Bluetooth Speaker,Electronics,422.34,751.60,586.97,749
SKU-153,Waterproof Eyeliner,Cosmetics,59.74,81.21,70.47,587
SKU-154,Night Repair Serum,Skincare,50.28,57.52,53.90,956
SKU-155,Volumizing Mascara,Cosmetics,307.28,379.59,343.43,180
SKU-156,Hydrating Moisturizer,Skincare,155.21,242.78,199.00,415
SKU-157,Bluetooth Speaker,Electronics,299.28,380.78,340.03,774
SKU-158,Heat Protectant Spray,Haircare,258.72,457.35,358.04,138
SKU-159,Night Repair Serum,Skincare,265.70,411.92,338.81,938
SKU-160,LED 24-inch Monitor,Electronics,19.00,25.64,22.32,908
SKU-161,Matte Liquid Lipstick,Cosmetics,99.29,142.98,121.14,414
SKU-162,Full Coverage Foundation,Cosmetics,463.14,672.81,567.97,990
SKU-163,Whole Wheat Bread,Food,26.51,41.32,33.92,161
SKU-164,Revitalizing Hair Serum,Haircare,181.04,217.69,199.36,848
SKU-165,Dry Shampoo,Haircare,35.04,57.18,46.11,698
SKU-166,Strengthening Shampoo,Haircare,63.46,91.98,77.72,334
SKU-167,Full Coverage Foundation,Cosmetics,33.56,37.90,35.73,954
SKU-168,Whole Wheat Bread,Food,315.02,418.90,366.96,435
SKU-169,Revitalizing Hair Serum,Haircare,372.20,469.64,420.92,620
SKU-170,Alcohol-Free Toner,Skincare,222.05,347.67,284.86,337
SKU-171,Hydrating Moisturizer,Skincare,177.90,217.09,197.50,429
SKU-172,Bluetooth Speaker,Electronics,295.11,474.29,384.70,538
SKU-173,Sunscreen SPF50,Skincare,391.67,689.64,540.66,951
SKU-174,Night Repair Serum,Skincare,401.86,617.34,509.60,840
SKU-175,LED 24-inch Monitor,Electronics,33.73,56.72,45.22,874
SKU-176,Wireless Mouse,Electronics,383.82,685.68,534.75,909
SKU-177,Argan Oil Conditioner,Haircare,390.59,587.49,489.04,720
SKU-178,USB-C Charging Cable,Electronics,304.07,511.34,407.70,400
SKU-179,Blush Palette,Cosmetics,321.44,390.36,355.90,358
SKU-180,Alcohol-Free Toner,Skincare,460.80,553.95,507.38,956
SKU-181,Strengthening Shampoo,Haircare,408.70,460.68,434.69,521
SKU-182,Argan Oil Conditioner,Haircare,198.73,232.23,215.48,316
SKU-183,USB-C Charging Cable,Electronics,403.56,492.12,447.84,710
SKU-184,Revitalizing Hair Serum,Haircare,55.47,85.43,70.45,542
SKU-185,Extra Virgin Olive Oil,Food,48.40,71.21,59.80,464
SKU-186,Organic Apple,Food,434.28,750.50,592.39,10
SKU-187,Argan Oil Conditioner,Haircare,92.58,150.62,121.60,399
SKU-188,Sunscreen SPF50,Skincare,77.77,136.69,107.23,355
SKU-189,Revitalizing Hair Serum,Haircare,406.31,487.51,446.91,595
SKU-190,Alcohol-Free Toner,Skincare,394.59,580.94,487.76,761
SKU-191,Matte Liquid Lipstick,Cosmetics,39.42,56.91,48.16,778
SKU-192,Argan Oil Conditioner,Haircare,250.91,352.22,301.56,788
SKU-193,Sunscreen SPF50,Skincare,127.73,178.83,153.28,992
SKU-194,Revitalizing Hair Serum,Haircare,47.71,81.36,64.54,174
SKU-195,Extra Virgin Olive Oil,Food,213.42,256.72,235.07,267
SKU-196,Matte Liquid Lipstick,Cosmetics,200.48,354.58,277.53,751
SKU-197,Bluetooth Speaker,Electronics,299.58,358.18,328.88,207
SKU-198,Sunscreen SPF50,Skincare,111.51,171.15,141.33,785
SKU-199,Portable Power Bank,Electronics,245.48,294.04,269.76,475
SKU-200,LED 24-inch Monitor,Electronics,15.84,26.63,21.24,275
SKU-201,Hydrating Moisturizer,Skincare,304.11,356.14,330.12,923
SKU-202,Fresh Milk,Food,336.45,595.96,466.21,65
SKU-203,Whole Wheat Bread,Food,230.79,363.77,297.28,848
SKU-204,Portable Power Bank,Electronics,495.00,636.22,565.61,692
SKU-205,Alcohol-Free Toner,Skincare,251.91,301.25,276.58,12
SKU-206,Hydrating Moisturizer,Skincare,380.88,601.78,491.33,110
SKU-207,Bluetooth Speaker,Electronics,425.08,559.21,492.14,692
SKU-208,Whole Wheat Bread,Food,222.85,284.33,253.59,47
SKU-209,Basmati Rice,Food,113.01,141.23,127.12,672
SKU-210,Alcohol-Free Toner,Skincare,59.73,83.48,71.60,494
SKU-211,Wireless Mouse,Electronics,197.52,234.77,216.14,989
SKU-212,Bluetooth Speaker,Electronics,55.23,97.29,76.26,532
SKU-213,Sunscreen SPF50,Skincare,359.87,554.12,457.00,113
SKU-214,Night Repair Serum,Skincare,19.46,21.87,20.66,690
SKU-215,Extra Virgin Olive Oil,Food,386.82,689.48,538.15,469
SKU-216,Hydrating Moisturizer,Skincare,33.81,51.26,42.54,560
SKU-217,Bluetooth Speaker,Electronics,239.36,281.43,260.40,358
SKU-218,Heat Protectant Spray,Haircare,337.12,377.69,357.40,302
SKU-219,Revitalizing Hair Serum,Haircare,423.82,609.14,516.48,55
SKU-220,LED 24-inch Monitor,Electronics,348.09,618.22,483.16,362
SKU-221,Matte Liquid Lipstick,Cosmetics,185.12,315.04,250.08,971
SKU-222,Fresh Milk,Food,405.88,672.05,538.96,487
SKU-223,Sunscreen SPF50,Skincare,127.65,149.77,138.71,97
SKU-224,Portable Power Bank,Electronics,41.06,54.42,47.74,267
SKU-225,Alcohol-Free Toner,Skincare,103.69,131.87,117.78,815
SKU-226,Hydrating Moisturizer,Skincare,485.07,857.79,671.43,88
SKU-227,Gentle Face Cleanser,Skincare,329.30,484.93,407.12,508
SKU-228,Whole Wheat Bread,Food,404.81,719.95,562.38,940
SKU-229,Revitalizing Hair Serum,Haircare,156.26,246.78,201.52,284
SKU-230,Volumizing Mascara,Cosmetics,442.73,489.08,465.90,714
SKU-231,Strengthening Shampoo,Haircare,343.50,527.99,435.74,14
SKU-232,Gentle Face Cleanser,Skincare,380.46,656.54,518.50,613
SKU-233,Sunscreen SPF50,Skincare,296.73,347.46,322.10,450
SKU-234,Portable Power Bank,Electronics,155.75,200.33,178.04,105
SKU-235,Volumizing Mascara,Cosmetics,359.90,446.31,403.10,317
SKU-236,Strengthening Shampoo,Haircare,465.34,666.09,565.72,166
SKU-237,Fresh Milk,Food,307.81,423.55,365.68,973
SKU-238,USB-C Charging Cable,Electronics,114.68,183.30,148.99,459
SKU-239,Basmati Rice,Food,41.67,60.62,51.14,701
SKU-240,Alcohol-Free Toner,Skincare,179.51,280.24,229.88,381
SKU-241,Hydrating Moisturizer,Skincare,410.34,671.44,540.89,910
SKU-242,Full Coverage Foundation,Cosmetics,44.57,57.82,51.20,21
SKU-243,Whole Wheat Bread,Food,441.52,585.24,513.38,351
SKU-244,Blush Palette,Cosmetics,339.29,501.82,420.56,117
SKU-245,LED 24-inch Monitor,Electronics,359.44,475.73,417.58,586
SKU-246,Strengthening Shampoo,Haircare,28.52,49.72,39.12,488
SKU-247,Fresh Milk,Food,49.68,73.02,61.35,287
SKU-248,Heat Protectant Spray,Haircare,161.53,198.39,179.96,874
SKU-249,Portable Power Bank,Electronics,64.36,82.44,73.40,784
SKU-250,Alcohol-Free Toner,Skincare,17.14,26.62,21.88,121
SKU-251,Organic Apple,Food,225.51,377.03,301.27,752
SKU-252,Full Coverage Foundation,Cosmetics,394.82,445.78,420.30,458
SKU-253,USB-C Charging Cable,Electronics,430.09,493.01,461.55,946
SKU-254,Basmati Rice,Food,231.03,386.25,308.64,288
SKU-255,Dry Shampoo,Haircare,215.66,316.37,266.02,539
SKU-256,Organic Apple,Food,424.91,700.91,562.91,831
SKU-257,Bluetooth Speaker,Electronics,79.60,93.38,86.49,57
SKU-258,USB-C Charging Cable,Electronics,412.46,690.03,551.24,4
SKU-259,Blush Palette,Cosmetics,124.60,137.37,130.99,927
SKU-260,LED 24-inch Monitor,Electronics,368.23,584.03,476.13,463
SKU-261,Matte Liquid Lipstick,Cosmetics,160.81,277.55,219.18,684
SKU-262,Gentle Face Cleanser,Skincare,78.23,119.68,98.96,729
SKU-263,USB-C Charging Cable,Electronics,128.26,180.53,154.39,547
SKU-264,Night Repair Serum,Skincare,141.49,236.08,188.79,825
SKU-265,Extra Virgin Olive Oil,Food,172.68,254.00,213.34,659
SKU-266,Matte Liquid Lipstick,Cosmetics,323.06,389.02,356.04,840
SKU-267,Argan Oil Conditioner,Haircare,275.68,342.57,309.12,27
SKU-268,Sunscreen SPF50,Skincare,116.83,172.19,144.51,87
SKU-269,Portable Power Bank,Electronics,347.49,424.64,386.06,963
SKU-270,Volumizing Mascara,Cosmetics,412.99,702.17,557.58,805
SKU-271,Hydrating Moisturizer,Skincare,91.02,142.90,116.96,71
SKU-272,Argan Oil Conditioner,Haircare,111.44,170.35,140.89,89
SKU-273,Heat Protectant Spray,Haircare,437.02,606.92,521.97,655
SKU-274,Night Repair Serum,Skincare,152.56,203.57,178.06,492
SKU-275,Dry Shampoo,Haircare,231.30,339.51,285.40,210
SKU-276,Strengthening Shampoo,Haircare,218.86,251.27,235.06,74
SKU-277,Argan Oil Conditioner,Haircare,98.79,144.03,121.41,832
SKU-278,Whole Wheat Bread,Food,279.35,376.57,327.96,338
SKU-279,Night Repair Serum,Skincare,35.71,51.04,43.38,925
SKU-280,Volumizing Mascara,Cosmetics,394.93,653.73,524.33,640
SKU-281,Strengthening Shampoo,Haircare,499.10,668.37,583.74,298
SKU-282,Full Coverage Foundation,Cosmetics,66.63,94.52,80.57,278
SKU-283,Whole Wheat Bread,Food,235.28,412.26,323.77,550
SKU-284,Night Repair Serum,Skincare,248.89,424.71,336.80,390
SKU-285,Volumizing Mascara,Cosmetics,370.18,435.24,402.71,91
SKU-286,Organic Apple,Food,419.59,659.18,539.38,775
SKU-287,Full Coverage Foundation,Cosmetics,497.34,622.34,559.84,765
SKU-288,Sunscreen SPF50,Skincare,493.99,883.49,688.74,423
SKU-289,Basmati Rice,Food,345.65,509.18,427.42,850
SKU-290,Dry Shampoo,Haircare,357.63,467.04,412.34,797
SKU-291,Organic Apple,Food,332.27,503.32,417.79,194
SKU-292,Full Coverage Foundation,Cosmetics,278.19,463.65,370.92,609
SKU-293,Waterproof Eyeliner,Cosmetics,246.86,414.44,330.65,704
SKU-294,Revitalizing Hair Serum,Haircare,212.33,326.11,269.22,218
SKU-295,LED 24-inch Monitor,Electronics,235.52,330.66,283.09,464
SKU-296,Organic Apple,Food,232.75,261.46,247.10,657
SKU-297,Bluetooth Speaker,Electronics,457.47,513.27,485.37,549
SKU-298,Whole Wheat Bread,Food,392.68,517.35,455.02,845
SKU-299,Blush Palette,Cosmetics,482.38,838.32,660.35,714
SKU-300,LED 24-inch Monitor,Electronics,84.08,96.95,90.52,264
SKU-301,Strengthening Shampoo,Haircare,420.46,507.49,463.98,420
SKU-302,Bluetooth Speaker,Electronics,463.17,801.29,632.23,353
SKU-303,Sunscreen SPF50,Skincare,492.70,650.77,571.74,458
SKU-304,Blush Palette,Cosmetics,202.51,228.94,215.72,649
SKU-305,Volumizing Mascara,Cosmetics,113.84,141.90,127.87,201
SKU-306,Organic Apple,Food,10.30,11.73,11.02,979
SKU-307,Fresh Milk,Food,39.55,54.96,47.26,212
SKU-308,Waterproof Eyeliner,Cosmetics,262.56,456.27,359.42,522
SKU-309,Revitalizing Hair Serum,Haircare,432.22,603.35,517.79,289
SKU-310,Volumizing Mascara,Cosmetics,493.34,584.51,538.92,906
SKU-311,Matte Liquid Lipstick,Cosmetics,316.97,520.71,418.84,433
SKU-312,Gentle Face Cleanser,Skincare,231.95,383.35,307.65,90
SKU-313,USB-C Charging Cable,Electronics,128.74,202.85,165.80,681
SKU-314,Blush Palette,Cosmetics,280.73,430.68,355.71,21
SKU-315,LED 24-inch Monitor,Electronics,404.84,694.01,549.42,58
SKU-316,Strengthening Shampoo,Haircare,326.55,484.16,405.36,583
SKU-317,Fresh Milk,Food,61.63,93.00,77.32,491
SKU-318,Sunscreen SPF50,Skincare,366.53,515.33,440.93,488
SKU-319,Revitalizing Hair Serum,Haircare,203.52,318.41,260.97,683
SKU-320,Volumizing Mascara,Cosmetics,195.35,274.54,234.94,168
SKU-321,Matte Liquid Lipstick,Cosmetics,43.17,56.14,49.66,464
SKU-322,Bluetooth Speaker,Electronics,217.69,288.32,253.00,493
SKU-323,Sunscreen SPF50,Skincare,468.27,594.76,531.52,511
SKU-324,Basmati Rice,Food,182.39,214.78,198.58,657
SKU-325,Volumizing Mascara,Cosmetics,46.05,68.69,57.37,228
SKU-326,Strengthening Shampoo,Haircare,275.28,341.39,308.33,677
SKU-327,Gentle Face Cleanser,Skincare,341.47,403.74,372.60,997
SKU-328,Heat Protectant Spray,Haircare,309.02,476.36,392.69,393
SKU-329,Portable Power Bank,Electronics,96.97,167.95,132.46,259
SKU-330,Volumizing Mascara,Cosmetics,291.02,368.65,329.84,896
SKU-331,Wireless Mouse,Electronics,174.43,271.03,222.73,719
SKU-332,Bluetooth Speaker,Electronics,282.28,447.28,364.78,142
SKU-333,Whole Wheat Bread,Food,142.63,177.29,159.96,711
SKU-334,Portable Power Bank,Electronics,118.10,173.16,145.63,72
SKU-335,Extra Virgin Olive Oil,Food,481.32,865.47,673.40,462
SKU-336,Hydrating Moisturizer,Skincare,359.45,646.65,503.05,645
SKU-337,Fresh Milk,Food,326.00,483.45,404.72,63
SKU-338,Whole Wheat Bread,Food,203.95,248.07,226.01,526
SKU-339,Portable Power Bank,Electronics,61.55,82.24,71.90,743
SKU-340,Volumizing Mascara,Cosmetics,10.20,12.45,11.32,349
SKU-341,Matte Liquid Lipstick,Cosmetics,450.53,790.05,620.29,738
SKU-342,Gentle Face Cleanser,Skincare,185.72,217.20,201.46,188
SKU-343,USB-C Charging Cable,Electronics,372.43,497.38,434.90,383
SKU-344,Revitalizing Hair Serum,Haircare,27.65,36.59,32.12,195
SKU-345,Alcohol-Free Toner,Skincare,182.53,259.45,220.99,18
SKU-346,Strengthening Shampoo,Haircare,233.04,406.02,319.53,425
SKU-347,Bluetooth Speaker,Electronics,325.98,558.40,442.19,830
SKU-348,Sunscreen SPF50,Skincare,404.45,559.70,482.08,75
SKU-349,Revitalizing Hair Serum,Haircare,71.68,113.86,92.77,301
SKU-350,Alcohol-Free Toner,Skincare,333.39,501.45,417.42,390
SKU-351,Strengthening Shampoo,Haircare,61.01,104.65,82.83,15
SKU-352,Argan Oil Conditioner,Haircare,321.55,469.85,395.70,741
SKU-353,USB-C Charging Cable,Electronics,327.53,441.17,384.35,179
SKU-354,Revitalizing Hair Serum,Haircare,240.93,399.11,320.02,639
SKU-355,Extra Virgin Olive Oil,Food,14.74,16.72,15.73,720
SKU-356,Organic Apple,Food,115.90,155.60,135.75,28
SKU-357,Bluetooth Speaker,Electronics,369.18,541.58,455.38,350
SKU-358,Sunscreen SPF50,Skincare,377.37,561.07,469.22,804
SKU-359,Basmati Rice,Food,373.27,410.74,392.00,542
SKU-360,Extra Virgin Olive Oil,Food,378.84,457.35,418.10,661
SKU-361,Organic Apple,Food,452.96,608.27,530.62,163
SKU-362,Fresh Milk,Food,328.93,469.40,399.16,116
SKU-363,Sunscreen SPF50,Skincare,269.08,432.15,350.62,459
SKU-364,Portable Power Bank,Electronics,411.22,607.50,509.36,170
SKU-365,Dry Shampoo,Haircare,223.88,325.42,274.65,5
SKU-366,Matte Liquid Lipstick,Cosmetics,235.05,327.81,281.43,849
SKU-367,Bluetooth Speaker,Electronics,377.19,640.42,508.80,788
SKU-368,Sunscreen SPF50,Skincare,113.08,169.31,141.20,684
SKU-369,Portable Power Bank,Electronics,85.86,114.17,100.02,291
SKU-370,Dry Shampoo,Haircare,341.07,476.12,408.60,501
SKU-371,Organic Apple,Food,229.09,284.25,256.67,821
SKU-372,Gentle Face Cleanser,Skincare,82.60,112.57,97.58,110
SKU-373,USB-C Charging Cable,Electronics,196.94,278.61,237.78,448
SKU-374,Night Repair Serum,Skincare,491.75,640.37,566.06,413
SKU-375,Alcohol-Free Toner,Skincare,452.52,619.18,535.85,421
SKU-376,Hydrating Moisturizer,Skincare,102.42,129.67,116.04,360
SKU-377,Fresh Milk,Food,204.88,249.07,226.98,165
SKU-378,Waterproof Eyeliner,Cosmetics,322.55,539.20,430.88,695
SKU-379,Basmati Rice,Food,124.98,173.13,149.06,458
SKU-380,LED 24-inch Monitor,Electronics,14.70,17.64,16.17,342
SKU-381,Matte Liquid Lipstick,Cosmetics,449.37,694.64,572.00,499
SKU-382,Full Coverage Foundation,Cosmetics,486.69,763.53,625.11,350
SKU-383,Heat Protectant Spray,Haircare,32.76,56.83,44.80,688
SKU-384,Night Repair Serum,Skincare,60.75,86.16,73.46,89
SKU-385,LED 24-inch Monitor,Electronics,417.74,477.62,447.68,829
SKU-386,Organic Apple,Food,122.22,216.26,169.24,204
SKU-387,Argan Oil Conditioner,Haircare,201.59,293.03,247.31,597
SKU-388,Waterproof Eyeliner,Cosmetics,399.76,551.59,475.68,183
SKU-389,Night Repair Serum,Skincare,402.91,645.43,524.17,140
SKU-390,LED 24-inch Monitor,Electronics,123.41,215.78,169.60,41
SKU-391,Strengthening Shampoo,Haircare,201.68,300.96,251.32,552
