Sale_ID,Order_ID,SKU,Selling_Price,Discount_%,Sale_Date,Region,Order_Status,Final_Qty,Total_Revenue
SALE-65,ORD-138,SKU-755,389.77,5,7/7/2024,West,Delivered,23,8516.4745
SALE-68,ORD-143,SKU-765,332.17,10,10/3/2024,North,Delivered,53,15844.509
SALE-69,ORD-144,SKU-108,458.95,20,1/28/2024,West,Delivered,27,9913.32
SALE-70,ORD-146,SKU-503,490.93,5,11/18/2024,East,Delivered,76,35445.146
SALE-421,ORD-869,SKU-283,412.26,20,5/16/2024,North,Delivered,53,17479.824
SALE-72,ORD-151,SKU-502,203.81,10,6/28/2024,South,Delivered,23,4218.867
SALE-73,ORD-153,SKU-327,403.74,0,12/3/2024,South,Delivered,70,28261.8
SALE-75,ORD-156,SKU-139,24.26,0,9/10/2024,North,Delivered,51,1237.26
SALE-76,ORD-158,SKU-837,489.03,0,12/6/2024,North,Delivered,19,9291.57
SALE-80,ORD-178,SKU-626,246.69,0,1/17/2024,West,Delivered,86,21215.34
SALE-83,ORD-184,SKU-302,801.29,15,8/10/2024,East,Delivered,53,36098.1145
SALE-85,ORD-186,SKU-980,362.22,0,3/15/2024,North,Delivered,64,23182.08
SALE-546,ORD-1093,SKU-693,180.82,5,4/23/2024,East,Delivered,31,5325.149
SALE-87,ORD-189,SKU-641,258.36,0,2/17/2024,South,Delivered,41,10592.76
SALE-1327,ORD-2669,SKU-856,26.55,20,9/22/2024,South,Delivered,79,1677.96
SALE-88,ORD-192,SKU-546,601.32,5,6/13/2024,South,Delivered,33,18851.382
SALE-90,ORD-194,SKU-960,263.21,10,8/25/2024,East,Delivered,84,19898.676
SALE-93,ORD-201,SKU-254,386.25,10,11/5/2024,West,Delivered,95,33024.375
SALE-94,ORD-202,SKU-476,603.55,0,9/24/2024,South,Delivered,56,33798.8
SALE-95,ORD-203,SKU-226,857.79,0,3/19/2024,North,Delivered,100,85779
SALE-96,ORD-204,SKU-232,656.54,15,6/10/2024,East,Delivered,34,18974.006
SALE-97,ORD-205,SKU-544,514.8,20,1/16/2024,North,Delivered,58,23886.72
SALE-98,ORD-208,SKU-674,319.43,10,2/29/2024,South,Delivered,65,18686.655
SALE-99,ORD-210,SKU-385,477.62,5,10/6/2024,West,Delivered,100,45373.9
SALE-410,ORD-850,SKU-177,587.49,10,5/28/2024,West,Delivered,43,22735.863
SALE-106,ORD-226,SKU-182,232.23,0,12/27/2024,East,Delivered,25,5805.75
SALE-1091,ORD-2178,SKU-216,51.26,5,6/9/2024,North,Delivered,42,2045.274
SALE-109,ORD-230,SKU-975,532.22,10,10/25/2024,East,Delivered,39,18680.922
SALE-112,ORD-238,SKU-520,47.53,0,3/31/2024,North,Delivered,69,3279.57
SALE-114,ORD-240,SKU-112,599.32,5,9/28/2024,West,Delivered,15,8540.31
SALE-115,ORD-241,SKU-83,365.25,15,7/16/2024,North,Delivered,27,8382.4875
SALE-950,ORD-1898,SKU-392,273.37,10,2/26/2024,South,Delivered,17,4182.561
SALE-117,ORD-249,SKU-466,74.78,15,4/3/2024,South,Delivered,42,2669.646
SALE-120,ORD-253,SKU-212,97.29,10,10/15/2024,East,Delivered,62,5428.782
SALE-277,ORD-573,SKU-81,726.3,0,2/24/2024,East,Delivered,92,66819.6
SALE-122,ORD-257,SKU-308,456.27,5,10/20/2024,North,Delivered,40,17338.26
SALE-123,ORD-259,SKU-176,685.68,10,6/29/2024,South,Delivered,11,6788.232
SALE-125,ORD-264,SKU-559,706.86,0,1/26/2024,North,Delivered,20,14137.2
SALE-126,ORD-268,SKU-593,162.72,0,9/8/2024,East,Delivered,69,11227.68
SALE-127,ORD-269,SKU-499,114.89,5,7/13/2024,East,Delivered,25,2728.6375
SALE-130,ORD-272,SKU-103,592.29,0,11/24/2024,South,Delivered,84,49752.36
SALE-132,ORD-275,SKU-947,457.46,20,3/28/2024,West,Delivered,63,23055.984
SALE-134,ORD-279,SKU-501,600.44,0,11/16/2024,South,Delivered,99,59443.56
SALE-136,ORD-285,SKU-548,566.65,10,12/23/2024,South,Delivered,87,44368.695
SALE-137,ORD-287,SKU-740,304.86,10,1/28/2024,South,Delivered,55,15090.57
SALE-852,ORD-1695,SKU-707,462.97,5,12/11/2024,West,Delivered,33,14514.1095
SALE-142,ORD-296,SKU-396,370.94,10,7/30/2024,North,Delivered,5,1669.23
SALE-144,ORD-302,SKU-729,519.23,20,10/10/2024,South,Delivered,63,26169.192
SALE-145,ORD-311,SKU-928,442.32,15,5/15/2024,West,Delivered,47,17670.684
SALE-1095,ORD-2184,SKU-820,379.54,15,2/28/2024,West,Delivered,44,14194.796
SALE-146,ORD-312,SKU-66,364.95,0,10/30/2024,North,Delivered,18,6569.1
SALE-147,ORD-313,SKU-130,569.16,10,7/3/2024,South,Delivered,6,3073.464
SALE-148,ORD-316,SKU-259,137.37,5,12/6/2024,West,Delivered,88,11484.132
SALE-149,ORD-317,SKU-896,356.15,5,6/14/2024,West,Delivered,44,14887.07
SALE-151,ORD-319,SKU-900,649.6,10,9/6/2024,South,Delivered,19,11108.16
SALE-152,ORD-321,SKU-633,785.24,10,12/3/2024,East,Delivered,32,22614.912
SALE-178,ORD-379,SKU-426,375.39,15,6/18/2024,North,Delivered,6,1914.489
SALE-157,ORD-335,SKU-114,329.92,5,11/16/2024,South,Delivered,90,28208.16
SALE-158,ORD-337,SKU-321,56.14,15,6/7/2024,West,Delivered,5,238.595
SALE-1223,ORD-2459,SKU-16,622.02,5,7/1/2024,East,Delivered,44,26000.436
SALE-162,ORD-344,SKU-561,92.08,0,2/2/2024,East,Delivered,36,3314.88
SALE-163,ORD-345,SKU-172,474.29,5,8/20/2024,East,Delivered,78,35144.889
SALE-771,ORD-1545,SKU-472,431.16,10,8/28/2024,West,Delivered,11,4268.484
SALE-164,ORD-346,SKU-426,375.39,5,2/26/2024,South,Delivered,48,17117.784
SALE-165,ORD-347,SKU-503,490.93,10,12/22/2024,West,Delivered,10,4418.37
SALE-166,ORD-349,SKU-190,580.94,5,2/13/2024,East,Delivered,70,38632.51
SALE-167,ORD-351,SKU-486,608.18,5,4/13/2024,East,Delivered,60,34666.26
SALE-171,ORD-365,SKU-775,39.77,20,10/24/2024,East,Delivered,45,1431.72
SALE-172,ORD-366,SKU-890,394.76,15,5/15/2024,East,Delivered,1,335.546
SALE-176,ORD-373,SKU-987,412.44,20,2/19/2024,East,Delivered,94,31015.488
SALE-177,ORD-376,SKU-269,424.64,15,10/28/2024,South,Delivered,50,18047.2
SALE-179,ORD-380,SKU-975,532.22,5,9/1/2024,East,Delivered,73,36909.457
SALE-180,ORD-382,SKU-340,12.45,10,2/18/2024,South,Delivered,12,134.46
SALE-182,ORD-385,SKU-260,584.03,10,3/23/2024,South,Delivered,43,22601.961
SALE-1070,ORD-2132,SKU-981,543.27,15,12/3/2024,South,Delivered,17,7850.2515
SALE-183,ORD-386,SKU-785,546.88,0,10/26/2024,North,Delivered,40,21875.2
SALE-186,ORD-389,SKU-749,136.97,0,9/5/2024,North,Delivered,88,12053.36
SALE-190,ORD-404,SKU-502,203.81,5,9/24/2024,East,Delivered,12,2323.434
SALE-191,ORD-405,SKU-139,24.26,15,8/21/2024,South,Delivered,23,474.283
SALE-192,ORD-407,SKU-777,92.2,10,10/9/2024,West,Delivered,80,6638.4
SALE-193,ORD-409,SKU-179,390.36,0,2/3/2024,North,Delivered,40,15614.4
SALE-194,ORD-411,SKU-538,458.58,5,2/15/2024,North,Delivered,22,9584.322
SALE-195,ORD-412,SKU-683,547.74,15,5/8/2024,West,Delivered,25,11639.475
SALE-197,ORD-415,SKU-401,519.11,15,3/25/2024,West,Delivered,74,32652.019
SALE-198,ORD-416,SKU-879,285.78,20,8/5/2024,South,Delivered,78,17832.672
SALE-1177,ORD-2367,SKU-994,184.47,15,3/14/2024,South,Delivered,40,6271.98
SALE-200,ORD-422,SKU-53,43.26,0,3/21/2024,West,Delivered,12,519.12
SALE-202,ORD-424,SKU-956,482.63,10,10/19/2024,East,Delivered,41,17809.047
SALE-206,ORD-435,SKU-191,56.91,10,1/29/2024,East,Delivered,97,4968.243
SALE-207,ORD-436,SKU-800,779.29,5,9/20/2024,West,Delivered,36,26651.718
SALE-208,ORD-439,SKU-916,204.19,10,6/17/2024,East,Delivered,89,16355.619
SALE-210,ORD-446,SKU-387,293.03,20,8/3/2024,North,Delivered,23,5391.752
SALE-211,ORD-449,SKU-782,658.62,5,5/25/2024,West,Delivered,19,11888.091
SALE-213,ORD-455,SKU-629,712.24,15,7/20/2024,South,Delivered,92,55697.168
SALE-216,ORD-458,SKU-503,490.93,5,4/2/2024,North,Delivered,64,29848.544
SALE-221,ORD-467,SKU-391,300.96,0,3/10/2024,West,Delivered,75,22572
SALE-375,ORD-793,SKU-797,331.27,10,1/28/2024,West,Delivered,15,4472.145
SALE-223,ORD-471,SKU-381,694.64,15,11/23/2024,North,Delivered,16,9447.104
SALE-226,ORD-476,SKU-619,605.24,10,5/23/2024,East,Delivered,46,25056.936
SALE-227,ORD-477,SKU-223,149.77,10,9/29/2024,East,Delivered,66,8896.338
SALE-228,ORD-481,SKU-596,457.22,5,11/20/2024,East,Delivered,1,434.359
SALE-229,ORD-482,SKU-582,515.4,15,8/27/2024,East,Delivered,81,35485.29
SALE-230,ORD-484,SKU-782,658.62,15,1/13/2024,East,Delivered,27,15115.329
SALE-232,ORD-489,SKU-140,266.48,15,11/12/2024,East,Delivered,39,8833.812
SALE-233,ORD-491,SKU-371,284.25,15,11/26/2024,North,Delivered,74,17879.325
SALE-234,ORD-492,SKU-479,319.36,20,1/29/2024,West,Delivered,81,20694.528
SALE-235,ORD-496,SKU-365,325.42,15,11/30/2024,East,Delivered,42,11617.494
SALE-237,ORD-498,SKU-975,532.22,20,5/30/2024,East,Delivered,50,21288.8
SALE-971,ORD-1927,SKU-731,296.95,10,6/10/2024,East,Delivered,34,9086.67
SALE-238,ORD-499,SKU-790,442.45,15,6/9/2024,North,Delivered,31,11658.5575
SALE-240,ORD-504,SKU-567,151.46,0,7/27/2024,North,Delivered,34,5149.64
SALE-241,ORD-505,SKU-876,128.29,15,2/7/2024,North,Delivered,91,9923.2315
SALE-1124,ORD-2247,SKU-375,619.18,20,8/3/2024,North,Delivered,11,5448.784
SALE-243,ORD-509,SKU-846,345.43,15,10/27/2024,East,Delivered,72,21140.316
SALE-245,ORD-515,SKU-14,385.14,15,5/30/2024,North,Delivered,52,17023.188
SALE-247,ORD-517,SKU-670,750.39,5,8/23/2024,South,Delivered,75,53465.2875
SALE-248,ORD-518,SKU-787,63.11,20,5/27/2024,East,Delivered,47,2372.936
SALE-249,ORD-521,SKU-814,431.8,20,8/22/2024,South,Delivered,28,9672.32
SALE-250,ORD-525,SKU-368,169.31,0,6/2/2024,East,Delivered,73,12359.63
SALE-253,ORD-529,SKU-653,172.25,20,3/3/2024,West,Delivered,72,9921.6
SALE-254,ORD-530,SKU-292,463.65,0,6/6/2024,East,Delivered,45,20864.25
SALE-256,ORD-533,SKU-927,295.55,5,11/14/2024,North,Delivered,49,13757.8525
SALE-259,ORD-538,SKU-9,32.33,15,6/8/2024,West,Delivered,16,439.688
SALE-260,ORD-539,SKU-789,185.65,0,2/1/2024,South,Delivered,6,1113.9
SALE-261,ORD-540,SKU-686,57.76,15,5/28/2024,South,Delivered,21,1031.016
SALE-262,ORD-541,SKU-46,210.47,10,3/30/2024,East,Delivered,28,5303.844
SALE-263,ORD-542,SKU-202,595.96,20,10/6/2024,East,Delivered,22,10488.896
SALE-264,ORD-544,SKU-28,357.71,15,6/22/2024,West,Delivered,11,3344.5885
SALE-863,ORD-1718,SKU-184,85.43,15,11/11/2024,West,Delivered,56,4066.468
SALE-266,ORD-546,SKU-811,502.72,10,7/3/2024,West,Delivered,84,38005.632
SALE-267,ORD-547,SKU-72,495.58,10,5/9/2024,South,Delivered,94,41926.068
SALE-898,ORD-1797,SKU-212,97.29,15,10/3/2024,West,Delivered,9,744.2685
SALE-269,ORD-550,SKU-29,20.67,0,8/22/2024,North,Delivered,6,124.02
SALE-270,ORD-552,SKU-73,140.69,10,7/12/2024,North,Delivered,70,8863.47
SALE-271,ORD-553,SKU-781,619.41,15,9/9/2024,North,Delivered,39,20533.4415
SALE-273,ORD-558,SKU-423,268.07,5,10/8/2024,East,Delivered,80,20373.32
SALE-275,ORD-560,SKU-317,93,0,2/28/2024,North,Delivered,93,8649
SALE-279,ORD-582,SKU-47,198.09,10,8/24/2024,West,Delivered,71,12657.951
SALE-280,ORD-584,SKU-802,120.78,5,2/14/2024,North,Delivered,7,803.187
SALE-283,ORD-587,SKU-521,588.83,5,7/2/2024,South,Delivered,37,20697.3745
SALE-289,ORD-594,SKU-685,191.41,5,2/5/2024,West,Delivered,67,12183.2465
SALE-292,ORD-602,SKU-505,727.82,10,4/30/2024,East,Delivered,71,46507.698
SALE-790,ORD-1576,SKU-526,597.05,10,3/2/2024,South,Delivered,79,42450.255
SALE-297,ORD-619,SKU-232,656.54,0,3/19/2024,East,Delivered,97,63684.38
SALE-300,ORD-627,SKU-4,33.29,20,11/10/2024,East,Delivered,31,825.592
SALE-303,ORD-634,SKU-897,401.62,5,5/19/2024,South,Delivered,80,30523.12
SALE-304,ORD-637,SKU-463,790.38,15,3/13/2024,South,Delivered,25,16795.575
SALE-305,ORD-638,SKU-893,579.15,20,6/24/2024,North,Delivered,5,2316.6
SALE-307,ORD-641,SKU-96,103.64,15,3/13/2024,East,Delivered,52,4580.888
SALE-308,ORD-642,SKU-545,503.04,15,10/7/2024,South,Delivered,1,427.584
SALE-310,ORD-648,SKU-31,283.39,15,10/30/2024,West,Delivered,44,10598.786
SALE-1318,ORD-2648,SKU-502,203.81,0,8/4/2024,West,Delivered,98,19973.38
SALE-311,ORD-649,SKU-892,425.16,20,10/15/2024,North,Delivered,78,26529.984
SALE-312,ORD-651,SKU-366,327.81,15,7/21/2024,North,Delivered,69,19226.0565
SALE-1033,ORD-2056,SKU-897,401.62,0,9/26/2024,North,Delivered,20,8032.4
SALE-314,ORD-657,SKU-525,109.92,10,5/2/2024,East,Delivered,44,4352.832
SALE-318,ORD-662,SKU-513,139.07,5,10/20/2024,West,Delivered,86,11362.019
SALE-1076,ORD-2148,SKU-446,77.7,0,8/29/2024,West,Delivered,7,543.9
SALE-321,ORD-671,SKU-620,244.94,0,11/4/2024,East,Delivered,47,11512.18
SALE-322,ORD-674,SKU-735,741.84,5,2/16/2024,North,Delivered,70,49332.36
SALE-323,ORD-675,SKU-842,641.06,0,10/17/2024,North,Delivered,100,64106
SALE-326,ORD-683,SKU-809,202.65,10,12/22/2024,South,Delivered,35,6383.475
SALE-327,ORD-688,SKU-333,177.29,15,10/25/2024,South,Delivered,35,5274.3775
SALE-328,ORD-691,SKU-958,389.03,20,11/30/2024,East,Delivered,77,23964.248
SALE-330,ORD-693,SKU-690,91.51,10,7/2/2024,South,Delivered,92,7577.028
SALE-331,ORD-694,SKU-261,277.55,20,3/12/2024,North,Delivered,93,20649.72
SALE-332,ORD-695,SKU-613,194.24,10,1/3/2024,North,Delivered,34,5943.744
SALE-333,ORD-696,SKU-702,184.56,10,12/17/2024,South,Delivered,9,1494.936
SALE-334,ORD-698,SKU-533,725.88,10,2/28/2024,East,Delivered,6,3919.752
SALE-454,ORD-937,SKU-528,282.01,5,4/24/2024,West,Delivered,24,6429.828
SALE-340,ORD-707,SKU-195,256.72,15,3/17/2024,North,Delivered,61,13310.932
SALE-586,ORD-1164,SKU-101,322.08,5,9/28/2024,West,Delivered,48,14686.848
SALE-342,ORD-713,SKU-214,21.87,0,3/24/2024,East,Delivered,96,2099.52
SALE-343,ORD-714,SKU-627,203.27,10,7/11/2024,South,Delivered,78,14269.554
SALE-344,ORD-716,SKU-841,100.16,20,5/14/2024,North,Delivered,7,560.896
SALE-1077,ORD-2151,SKU-614,393.05,20,11/18/2024,North,Delivered,2,628.88
SALE-345,ORD-720,SKU-27,354.65,0,8/8/2024,North,Delivered,62,21988.3
SALE-1190,ORD-2397,SKU-336,646.65,5,4/30/2024,South,Delivered,2,1228.635
SALE-348,ORD-724,SKU-165,57.18,5,6/4/2024,South,Delivered,6,325.926
SALE-350,ORD-734,SKU-770,131.24,10,3/12/2024,North,Delivered,87,10276.092
SALE-351,ORD-736,SKU-260,584.03,0,2/4/2024,North,Delivered,6,3504.18
SALE-353,ORD-738,SKU-689,547.16,10,4/17/2024,South,Delivered,54,26591.976
SALE-381,ORD-801,SKU-540,161.8,5,3/12/2024,North,Delivered,18,2766.78
SALE-360,ORD-754,SKU-433,752.52,10,9/25/2024,East,Delivered,10,6772.68
SALE-362,ORD-760,SKU-208,284.33,5,8/24/2024,South,Delivered,1,270.1135
SALE-363,ORD-762,SKU-930,81.95,15,2/28/2024,West,Delivered,1,69.6575
SALE-364,ORD-766,SKU-379,173.13,10,1/30/2024,West,Delivered,37,5765.229
SALE-369,ORD-780,SKU-914,176.28,5,12/18/2024,West,Delivered,20,3349.32
SALE-371,ORD-782,SKU-35,445.02,0,12/9/2024,West,Delivered,2,890.04
SALE-373,ORD-790,SKU-99,226.85,5,7/29/2024,East,Delivered,33,7111.7475
SALE-376,ORD-794,SKU-294,326.11,15,10/31/2024,South,Delivered,20,5543.87
SALE-379,ORD-799,SKU-704,306.25,5,3/7/2024,West,Delivered,27,7855.3125
SALE-380,ORD-800,SKU-118,217.44,20,4/22/2024,South,Delivered,60,10437.12
SALE-385,ORD-810,SKU-824,340.79,0,9/14/2024,West,Delivered,94,32034.26
SALE-388,ORD-815,SKU-575,854.81,20,9/20/2024,East,Delivered,93,63597.864
SALE-390,ORD-817,SKU-39,218.64,5,3/12/2024,South,Delivered,3,623.124
SALE-391,ORD-818,SKU-829,594.11,20,5/3/2024,West,Delivered,90,42775.92
SALE-392,ORD-819,SKU-42,382.25,15,11/8/2024,North,Delivered,22,7148.075
SALE-393,ORD-820,SKU-491,133.28,10,11/13/2024,West,Delivered,59,7077.168
SALE-417,ORD-859,SKU-904,310.32,5,9/11/2024,North,Delivered,58,17098.632
SALE-396,ORD-825,SKU-249,82.44,20,11/3/2024,West,Delivered,57,3759.264
SALE-848,ORD-1687,SKU-438,333.06,10,5/23/2024,East,Delivered,41,12289.914
SALE-398,ORD-827,SKU-455,253.82,10,5/17/2024,North,Delivered,37,8452.206
SALE-399,ORD-831,SKU-411,67.49,10,7/4/2024,East,Delivered,60,3644.46
SALE-400,ORD-835,SKU-168,418.9,15,1/2/2024,East,Delivered,50,17803.25
SALE-401,ORD-836,SKU-717,67.76,20,3/8/2024,South,Delivered,9,487.872
SALE-402,ORD-837,SKU-740,304.86,15,11/17/2024,North,Delivered,16,4146.096
SALE-406,ORD-842,SKU-52,163.4,10,5/2/2024,East,Delivered,47,6911.82
SALE-408,ORD-847,SKU-208,284.33,15,8/24/2024,East,Delivered,5,1208.4025
SALE-412,ORD-853,SKU-116,269.38,10,6/30/2024,West,Delivered,81,19637.802
SALE-413,ORD-854,SKU-93,751.3,20,3/26/2024,South,Delivered,72,43274.88
SALE-416,ORD-858,SKU-848,111.54,20,2/17/2024,West,Delivered,36,3212.352
SALE-420,ORD-865,SKU-809,202.65,10,9/19/2024,South,Delivered,60,10943.1
SALE-422,ORD-873,SKU-290,467.04,10,1/29/2024,North,Delivered,65,27321.84
SALE-837,ORD-1660,SKU-769,559.22,10,1/19/2024,East,Delivered,73,36740.754
SALE-424,ORD-875,SKU-937,626.27,20,12/24/2024,East,Delivered,20,10020.32
SALE-428,ORD-884,SKU-883,320.85,0,5/1/2024,South,Delivered,75,24063.75
SALE-429,ORD-886,SKU-209,141.23,5,6/10/2024,South,Delivered,29,3890.8865
SALE-430,ORD-887,SKU-242,57.82,0,8/2/2024,South,Delivered,50,2891
SALE-431,ORD-888,SKU-962,25.36,5,2/28/2024,North,Delivered,55,1325.06
SALE-434,ORD-894,SKU-889,511.36,5,1/10/2024,South,Delivered,54,26232.768
SALE-436,ORD-900,SKU-28,357.71,15,8/3/2024,South,Delivered,96,29189.136
SALE-441,ORD-909,SKU-269,424.64,15,6/22/2024,South,Delivered,9,3248.496
SALE-443,ORD-919,SKU-988,401.65,5,11/14/2024,North,Delivered,36,13736.43
SALE-446,ORD-923,SKU-13,322.01,10,7/31/2024,East,Delivered,89,25793.001
SALE-447,ORD-925,SKU-240,280.24,15,8/31/2024,North,Delivered,57,13577.628
SALE-448,ORD-927,SKU-560,113.18,0,5/28/2024,North,Delivered,51,5772.18
SALE-450,ORD-932,SKU-358,561.07,20,7/17/2024,East,Delivered,74,33215.344
SALE-455,ORD-939,SKU-732,425.12,15,9/2/2024,South,Delivered,14,5058.928
SALE-458,ORD-944,SKU-333,177.29,10,7/22/2024,West,Delivered,70,11169.27
SALE-754,ORD-1510,SKU-125,555.91,20,4/1/2024,North,Delivered,95,42249.16
SALE-462,ORD-951,SKU-671,43.05,10,4/24/2024,West,Delivered,96,3719.52
SALE-465,ORD-964,SKU-212,97.29,5,7/9/2024,West,Delivered,70,6469.785
SALE-1005,ORD-1999,SKU-12,265.8,5,9/12/2024,East,Delivered,60,15150.6
SALE-466,ORD-965,SKU-890,394.76,20,8/25/2024,North,Delivered,33,10421.664
SALE-927,ORD-1855,SKU-508,347.3,5,8/22/2024,North,Delivered,62,20455.97
SALE-468,ORD-968,SKU-20,554.17,5,4/20/2024,South,Delivered,77,40537.5355
SALE-469,ORD-969,SKU-179,390.36,5,5/19/2024,East,Delivered,92,34117.464
SALE-474,ORD-987,SKU-369,114.17,10,5/1/2024,East,Delivered,16,1644.048
SALE-476,ORD-991,SKU-447,415.7,0,5/18/2024,North,Delivered,24,9976.8
SALE-479,ORD-994,SKU-296,261.46,0,6/5/2024,West,Delivered,53,13857.38
SALE-482,ORD-997,SKU-360,457.35,10,5/25/2024,South,Delivered,26,10701.99
SALE-484,ORD-999,SKU-828,380.54,15,11/24/2024,East,Delivered,33,10674.147
SALE-487,ORD-1002,SKU-123,185.67,5,6/4/2024,West,Delivered,44,7761.006
SALE-489,ORD-1004,SKU-577,573.7,10,8/15/2024,West,Delivered,93,48018.69
SALE-946,ORD-1888,SKU-782,658.62,0,6/8/2024,East,Delivered,15,9879.3
SALE-492,ORD-1010,SKU-75,562.52,5,4/11/2024,West,Delivered,90,48095.46
SALE-1279,ORD-2574,SKU-655,548.35,15,4/17/2024,West,Delivered,41,19109.9975
SALE-499,ORD-1018,SKU-730,38.13,15,3/17/2024,West,Delivered,90,2916.945
SALE-1256,ORD-2526,SKU-95,37.39,20,8/1/2024,South,Delivered,36,1076.832
SALE-506,ORD-1031,SKU-971,136.19,10,8/24/2024,South,Delivered,40,4902.84
SALE-507,ORD-1033,SKU-167,37.9,10,6/18/2024,North,Delivered,60,2046.6
SALE-509,ORD-1037,SKU-576,446.96,15,3/16/2024,East,Delivered,67,25454.372
SALE-510,ORD-1038,SKU-311,520.71,20,2/4/2024,North,Delivered,71,29576.328
SALE-513,ORD-1042,SKU-442,68.77,0,5/21/2024,East,Delivered,19,1306.63
SALE-515,ORD-1046,SKU-859,491.27,10,7/15/2024,East,Delivered,14,6190.002
SALE-516,ORD-1047,SKU-986,590.99,15,9/28/2024,East,Delivered,97,48727.1255
SALE-518,ORD-1049,SKU-506,457.44,10,12/24/2024,South,Delivered,87,35817.552
SALE-519,ORD-1052,SKU-931,613.7,5,7/15/2024,East,Delivered,88,51305.32
SALE-520,ORD-1053,SKU-595,679.17,0,4/11/2024,West,Delivered,74,50258.58
SALE-521,ORD-1054,SKU-671,43.05,10,6/17/2024,West,Delivered,72,2789.64
SALE-523,ORD-1056,SKU-714,388.15,0,1/8/2024,East,Delivered,57,22124.55
SALE-525,ORD-1060,SKU-753,717.88,10,8/2/2024,East,Delivered,29,18736.668
SALE-528,ORD-1064,SKU-34,356.56,10,5/6/2024,South,Delivered,19,6097.176
SALE-529,ORD-1065,SKU-447,415.7,0,10/5/2024,West,Delivered,40,16628
SALE-1040,ORD-2069,SKU-444,267.73,15,7/17/2024,West,Delivered,99,22529.4795
SALE-530,ORD-1066,SKU-711,291.8,10,11/17/2024,East,Delivered,98,25736.76
SALE-531,ORD-1068,SKU-958,389.03,15,2/6/2024,West,Delivered,31,10250.9405
