Return_ID,Order_ID,Return_Reason,Return_Date,Returned_Qty,Selling_Price,Discount_%,Refund_Amount
RET-328,ORD-2318,Late Delivery,2024-05-05,37,590.99,15%,"16,727.97"
RET-329,ORD-2320,Wrong Item,2024-06-28,26,429.63,10%,"9,048.01"
RET-337,ORD-1789,Wrong Item,2024-03-30,27,118.45,5%,"2,734.42"
RET-340,ORD-461,Late Delivery,2024-05-03,38,253.96,20%,"6,948.35"
RET-1554,ORD-398,Wrong Item,2024-08-18,7,93.38,10%,529.46
RET-342,ORD-2488,Late Delivery,2024-04-14,78,520.71,5%,"34,726.15"
RET-1441,ORD-401,Damaged,2024-04-24,79,383.12,0%,"27,239.83"
RET-1448,ORD-414,Damaged,2024-03-13,28,570.31,15%,"12,216.04"
RET-371,ORD-2032,Damaged,2024-03-10,29,412.26,10%,"9,683.99"
RET-1230,ORD-440,Damaged,2024-06-22,53,150.62,5%,"6,825.35"
RET-383,ORD-2188,Late Delivery,2024-03-10,59,263.89,0%,"14,012.56"
RET-841,ORD-453,Damaged,2024-03-20,51,204.19,5%,"8,903.70"
RET-388,ORD-2662,Quality Issue,2024-11-28,17,601.03,10%,"8,276.18"
RET-828,ORD-456,Quality Issue,2024-12-31,38,365.25,0%,"12,491.55"
RET-395,ORD-1028,Quality Issue,2024-10-18,90,281.12,20%,"18,216.58"
RET-1173,ORD-465,Quality Issue,2024-04-13,95,646.69,15%,"46,998.20"
RET-405,ORD-557,Damaged,2024-10-02,92,38.55,15%,"2,713.15"
RET-1407,ORD-473,Late Delivery,2024-10-17,31,49.98,15%,"1,185.28"
RET-723,ORD-475,Wrong Item,2024-09-03,44,544.38,10%,"19,401.70"
RET-414,ORD-788,Late Delivery,2024-12-31,18,181.47,0%,"2,939.81"
RET-436,ORD-2420,Damaged,2024-12-06,45,124.91,5%,"4,805.91"
RET-438,ORD-2583,Late Delivery,2024-12-03,33,653.73,20%,"15,532.62"
RET-439,ORD-2237,Quality Issue,2024-02-27,33,81.04,10%,"2,166.20"
RET-1100,ORD-516,Late Delivery,2024-01-23,100,447.44,0%,"40,269.60"
RET-444,ORD-1761,Wrong Item,2024-02-15,69,94.82,0%,"5,888.32"
RET-445,ORD-537,Quality Issue,2024-03-19,66,824.90,15%,"41,649.20"
RET-857,ORD-532,Late Delivery,2024-08-13,15,166.97,20%,"1,803.28"
RET-469,ORD-1926,Quality Issue,2024-11-28,97,425.16,5%,"35,260.64"
RET-480,ORD-2197,Damaged,2024-12-31,47,275.49,0%,"11,653.23"
RET-1978,ORD-559,Quality Issue,2024-09-02,53,189.35,5%,"8,580.40"
RET-490,ORD-597,Late Delivery,2024-12-31,19,234.77,15%,"3,412.38"
RET-492,ORD-722,Quality Issue,2024-12-31,92,626.27,0%,"51,855.16"
RET-493,ORD-1763,Quality Issue,2024-08-07,14,690.42,5%,"8,264.33"
RET-503,ORD-1979,Damaged,2024-02-17,68,134.94,0%,"8,258.33"
RET-506,ORD-1329,Late Delivery,2024-04-12,16,97.29,15%,"1,190.83"
RET-508,ORD-757,Damaged,2024-04-25,35,142.90,0%,"4,501.35"
RET-1830,ORD-590,Quality Issue,2024-08-02,80,553.95,0%,"39,884.40"
RET-1807,ORD-591,Damaged,2024-12-31,91,42.02,20%,"2,753.15"
RET-518,ORD-1370,Late Delivery,2024-12-12,61,579.15,10%,"28,615.80"
RET-1010,ORD-598,Damaged,2024-09-29,9,544.76,0%,"4,412.56"
RET-523,ORD-1982,Quality Issue,2024-10-15,86,403.56,10%,"28,111.99"
RET-1431,ORD-618,Late Delivery,2024-09-12,3,364.95,15%,837.56
RET-527,ORD-2268,Wrong Item,2024-04-17,22,122.54,0%,"2,426.29"
RET-659,ORD-620,Late Delivery,2024-04-03,44,288.26,15%,"9,702.83"
RET-547,ORD-700,Damaged,2024-06-23,97,751.30,10%,"59,029.64"
RET-762,ORD-640,Wrong Item,2024-05-18,46,353.89,10%,"13,185.94"
RET-561,ORD-1715,Late Delivery,2024-04-12,48,549.81,15%,"20,189.02"
RET-1864,ORD-664,Damaged,2024-08-26,56,318.41,5%,"15,245.47"
RET-1776,ORD-665,Wrong Item,2024-10-21,76,640.42,20%,"35,043.78"
RET-574,ORD-2566,Damaged,2024-08-11,51,475.73,10%,"19,652.41"
RET-839,ORD-678,Late Delivery,2024-12-31,45,39.47,5%,"1,518.61"
RET-585,ORD-1398,Quality Issue,2024-02-21,72,85.91,20%,"4,453.57"
RET-610,ORD-1836,Damaged,2024-03-03,22,386.27,15%,"6,500.92"
RET-619,ORD-1933,Late Delivery,2024-06-04,26,181.47,15%,"3,609.44"
RET-662,ORD-721,Quality Issue,2024-03-19,47,239.63,5%,"9,629.53"
RET-624,ORD-2624,Late Delivery,2024-09-19,44,537.29,10%,"19,149.02"
RET-630,ORD-2423,Quality Issue,2024-03-31,75,648.52,20%,"35,020.08"
RET-1670,ORD-737,Wrong Item,2024-05-22,64,619.18,0%,"35,664.77"
RET-738,ORD-745,Wrong Item,2024-03-08,77,597.05,5%,"39,306.79"
RET-642,ORD-1210,Quality Issue,2024-07-11,1,294.04,15%,224.94
RET-645,ORD-2084,Late Delivery,2024-06-26,79,319.36,5%,"21,571.17"
RET-652,ORD-1191,Late Delivery,2024-12-31,85,574.94,15%,"37,385.47"
RET-656,ORD-1555,Late Delivery,2024-09-30,100,679.52,15%,"51,983.28"
RET-771,ORD-774,Damaged,2024-03-23,53,104.65,20%,"3,993.44"
RET-967,ORD-792,Wrong Item,2024-12-31,42,57.52,0%,"2,174.26"
RET-674,ORD-1907,Late Delivery,2024-04-29,44,554.17,15%,"18,653.36"
RET-910,ORD-798,Damaged,2024-01-31,76,40.36,10%,"2,484.56"
RET-721,ORD-804,Wrong Item,2024-07-18,75,152.82,10%,"9,283.82"
RET-685,ORD-1420,Wrong Item,2024-10-29,10,712.24,15%,"5,448.64"
RET-1082,ORD-811,Late Delivery,2024-02-07,82,493.01,10%,"32,745.72"
RET-717,ORD-1014,Late Delivery,2024-05-14,82,194.57,20%,"11,487.41"
RET-718,ORD-1352,Quality Issue,2024-04-17,6,595.63,15%,"2,733.94"
RET-1706,ORD-841,Quality Issue,2024-04-15,13,267.73,0%,"3,132.44"
RET-1697,ORD-852,Late Delivery,2024-03-26,77,81.36,5%,"5,356.34"
RET-1921,ORD-857,Quality Issue,2024-04-14,27,181.47,15%,"3,748.26"
RET-1216,ORD-860,Quality Issue,2024-05-08,76,542.67,20%,"29,694.90"
RET-1705,ORD-890,Quality Issue,2024-10-26,97,530.64,0%,"46,324.87"
RET-1386,ORD-904,Wrong Item,2024-01-19,42,484.16,15%,"15,556.06"
RET-774,ORD-2486,Late Delivery,2024-06-20,62,587.49,20%,"26,225.55"
RET-1073,ORD-917,Quality Issue,2024-05-26,41,595.98,5%,"20,892.08"
RET-784,ORD-2173,Late Delivery,2024-03-15,65,380.39,5%,"21,140.17"
RET-788,ORD-1969,Quality Issue,2024-05-16,10,339.51,10%,"2,750.03"
RET-793,ORD-2638,Damaged,2024-11-15,31,607.75,15%,"14,412.79"
RET-803,ORD-942,Damaged,2024-11-07,64,170.96,5%,"9,354.93"
RET-1309,ORD-936,Late Delivery,2024-12-31,48,291.80,10%,"11,345.18"
RET-1692,ORD-946,Quality Issue,2024-02-25,82,463.65,5%,"32,506.50"
RET-1700,ORD-949,Damaged,2024-12-31,37,210.47,15%,"5,957.35"
RET-1261,ORD-976,Late Delivery,2024-05-28,57,11.73,5%,571.66
RET-831,ORD-1585,Damaged,2024-05-18,89,112.37,5%,"8,550.80"
RET-1524,ORD-977,Wrong Item,2024-09-27,72,285.20,5%,"17,556.91"
RET-1531,ORD-992,Late Delivery,2024-06-03,68,174.34,20%,"8,535.69"
RET-1013,ORD-993,Damaged,2024-08-25,99,19.19,15%,"1,453.35"
RET-844,ORD-2409,Wrong Item,2024-11-25,41,872.87,15%,"27,377.57"
RET-848,ORD-1974,Damaged,2024-11-24,32,474.29,15%,"11,610.62"
RET-1152,ORD-1001,Late Delivery,2024-09-25,36,635.20,20%,"16,464.38"
RET-1457,ORD-1023,Wrong Item,2024-05-07,10,264.20,20%,"1,902.24"
RET-883,ORD-1062,Damaged,2024-04-04,11,601.32,10%,"5,357.76"
RET-1784,ORD-1041,Quality Issue,2024-07-14,44,342.70,10%,"12,213.83"
RET-892,ORD-1295,Damaged,2024-10-21,19,327.81,20%,"4,484.44"
RET-911,ORD-2507,Quality Issue,2024-04-05,8,467.04,15%,"2,858.28"
RET-1567,ORD-1061,Damaged,2024-02-01,15,691.86,0%,"9,340.11"
RET-919,ORD-1166,Damaged,2024-04-06,37,54.96,20%,"1,464.13"
RET-923,ORD-2272,Late Delivery,2024-06-05,100,160.93,0%,"14,483.70"
RET-927,ORD-2567,Quality Issue,2024-05-05,60,750.39,20%,"32,416.85"
RET-1068,ORD-1075,Damaged,2024-05-02,34,722.69,20%,"17,691.45"
RET-1345,ORD-1079,Damaged,2024-04-29,66,501.42,0%,"29,784.35"
RET-940,ORD-1795,Damaged,2024-12-31,57,503.04,5%,"24,515.65"
RET-1034,ORD-1092,Wrong Item,2024-10-20,25,131.87,5%,"2,818.72"
RET-944,ORD-2087,Damaged,2024-04-07,53,466.76,0%,"22,264.45"
RET-945,ORD-1922,Damaged,2024-05-21,2,160.93,5%,275.19
RET-951,ORD-2592,Late Delivery,2024-11-22,64,585.04,10%,"30,328.47"
RET-964,ORD-1444,Late Delivery,2024-10-17,54,859.61,10%,"37,599.34"
RET-1681,ORD-1120,Quality Issue,2024-06-02,86,307.25,5%,"22,592.09"
RET-966,ORD-1539,Quality Issue,2024-12-31,75,356.15,0%,"24,040.13"
RET-969,ORD-2047,Damaged,2024-02-27,35,133.78,0%,"4,214.07"
RET-986,ORD-1124,Wrong Item,2024-10-01,49,595.63,20%,"21,013.83"
RET-975,ORD-2271,Damaged,2024-08-04,48,477.62,10%,"18,569.87"
RET-1030,ORD-1446,Wrong Item,2024-08-31,43,487.51,10%,"16,979.97"
RET-1396,ORD-1194,Damaged,2024-12-31,88,489.08,0%,"38,735.14"
RET-1036,ORD-2233,Quality Issue,2024-05-16,2,387.04,5%,661.84
RET-1037,ORD-1914,Damaged,2024-11-01,83,517.35,10%,"34,781.44"
RET-1051,ORD-2183,Quality Issue,2024-07-28,51,85.55,5%,"3,730.41"
RET-1053,ORD-2334,Wrong Item,2024-11-14,27,519.11,10%,"11,352.94"
RET-1983,ORD-1229,Damaged,2024-12-26,72,41.45,15%,"2,283.07"
RET-1530,ORD-1236,Damaged,2024-12-31,53,49.53,15%,"2,008.19"
RET-1840,ORD-1246,Wrong Item,2024-11-19,19,501.45,5%,"8,146.06"
RET-1832,ORD-1248,Quality Issue,2024-11-25,96,253.82,0%,"21,930.05"
RET-1083,ORD-1844,Late Delivery,2024-05-29,14,264.20,10%,"2,996.03"
RET-1516,ORD-1251,Damaged,2024-11-14,11,81.21,20%,643.18
RET-1089,ORD-2031,Wrong Item,2024-12-10,84,348.84,0%,"26,372.30"
RET-1090,ORD-1607,Late Delivery,2024-08-24,39,611.10,5%,"20,377.13"
RET-1563,ORD-1258,Damaged,2024-11-05,70,155.60,20%,"7,842.24"
RET-1095,ORD-1750,Damaged,2024-04-08,22,817.42,20%,"12,947.93"
RET-1802,ORD-1266,Damaged,2024-08-11,67,119.68,10%,"6,495.03"
RET-1984,ORD-1273,Wrong Item,2024-07-08,24,330.18,15%,"6,062.10"
RET-1113,ORD-2478,Quality Issue,2024-03-11,72,189.35,0%,"12,269.88"
RET-1145,ORD-1288,Late Delivery,2024-10-03,86,445.78,0%,"34,503.37"
RET-1117,ORD-2447,Damaged,2024-09-08,29,373.88,20%,"7,806.61"
RET-1485,ORD-1313,Late Delivery,2024-11-30,3,175.91,20%,379.97
RET-1154,ORD-1902,Late Delivery,2024-08-12,3,25.58,0%,69.07
RET-1161,ORD-1816,Damaged,2024-09-01,75,388.13,0%,"26,198.78"
RET-1179,ORD-1867,Quality Issue,2024-04-16,86,53.25,5%,"3,915.47"
RET-1182,ORD-2596,Wrong Item,2024-04-10,12,198.79,0%,"2,146.93"
RET-1188,ORD-2295,Damaged,2024-06-04,57,532.22,15%,"23,207.45"
RET-1214,ORD-1381,Damaged,2024-06-16,86,388.55,5%,"28,570.08"
RET-1204,ORD-1989,Damaged,2024-04-17,40,107.78,5%,"3,686.08"
RET-1471,ORD-1414,Quality Issue,2024-08-28,83,332.17,0%,"24,813.10"
RET-1788,ORD-1422,Damaged,2024-06-29,89,587.49,20%,"37,646.36"
RET-1922,ORD-1432,Quality Issue,2024-06-25,63,546.76,5%,"29,451.23"
RET-1244,ORD-2483,Late Delivery,2024-08-09,75,340.79,5%,"21,853.16"
RET-1266,ORD-1810,Damaged,2024-08-03,48,193.09,15%,"7,090.26"
RET-1721,ORD-1488,Wrong Item,2024-02-24,92,57.82,0%,"4,787.50"
RET-1275,ORD-1769,Quality Issue,2024-02-28,83,316.15,20%,"18,893.12"
RET-1690,ORD-1499,Late Delivery,2024-06-12,20,134.49,20%,"1,936.66"
RET-1297,ORD-1574,Quality Issue,2024-07-24,64,629.27,20%,"28,996.76"
RET-1857,ORD-1540,Damaged,2024-07-04,79,43.26,10%,"2,768.21"
RET-1314,ORD-2463,Wrong Item,2024-07-11,75,301.25,0%,"20,334.38"
RET-1316,ORD-2195,Wrong Item,2024-12-31,64,299.74,10%,"15,538.52"
RET-1336,ORD-2571,Late Delivery,2024-10-10,93,501.42,15%,"35,673.53"
RET-1342,ORD-1831,Late Delivery,2024-08-09,33,143.21,15%,"3,615.34"
RET-1461,ORD-1575,Quality Issue,2024-12-31,53,457.35,5%,"20,724.82"
RET-1416,ORD-1578,Damaged,2024-01-30,24,725.88,15%,"13,327.16"
RET-1360,ORD-2462,Damaged,2024-02-29,47,442.45,0%,"18,715.64"
RET-1375,ORD-2079,Late Delivery,2024-02-17,73,457.35,5%,"28,545.50"
RET-1753,ORD-1633,Quality Issue,2024-06-26,96,119.68,10%,"9,306.32"
RET-1627,ORD-1637,Damaged,2024-08-23,9,246.78,0%,"1,998.92"
RET-1397,ORD-2375,Wrong Item,2024-06-11,98,257.37,5%,"21,565.03"
RET-1403,ORD-1686,Damaged,2024-01-29,96,722.69,10%,"56,196.37"
RET-1413,ORD-1864,Damaged,2024-06-03,100,592.29,5%,"50,640.80"
RET-1414,ORD-1776,Damaged,2024-12-31,85,566.47,5%,"41,168.21"
RET-1886,ORD-1684,Wrong Item,2024-11-22,95,775.36,5%,"62,978.62"
RET-1426,ORD-2394,Late Delivery,2024-10-10,50,368.65,20%,"13,271.40"
RET-1473,ORD-1849,Late Delivery,2024-05-17,51,240.12,15%,"9,368.28"
RET-1519,ORD-2145,Damaged,2024-05-30,52,726.30,20%,"27,192.67"
RET-1570,ORD-1856,Quality Issue,2024-11-03,67,67.76,20%,"3,268.74"
RET-1615,ORD-1859,Quality Issue,2024-04-05,12,358.39,0%,"3,870.61"
RET-1538,ORD-2441,Wrong Item,2024-07-17,55,642.40,0%,"31,798.80"
RET-1544,ORD-2498,Wrong Item,2024-12-04,40,39.47,0%,"1,420.92"
RET-1561,ORD-2068,Quality Issue,2024-12-05,29,559.70,10%,"13,147.35"
RET-1575,ORD-1908,Wrong Item,2024-07-01,6,447.52,5%,"2,295.78"
RET-1566,ORD-2259,Damaged,2024-05-12,70,544.54,5%,"32,590.72"
RET-1600,ORD-2091,Wrong Item,2024-04-04,15,625.33,5%,"8,019.86"
RET-1608,ORD-2182,Wrong Item,2024-09-06,19,458.58,5%,"7,449.63"
RET-1649,ORD-2011,Quality Issue,2024-06-19,38,122.08,10%,"3,757.62"
RET-1890,ORD-2048,Damaged,2024-04-21,11,751.60,5%,"7,068.80"
RET-1991,ORD-2055,Late Delivery,2024-07-12,46,26.62,0%,"1,102.07"
RET-1703,ORD-2097,Late Delivery,2024-11-10,21,285.20,20%,"4,312.22"
RET-1738,ORD-2117,Damaged,2024-11-15,81,103.64,10%,"6,799.82"
RET-1696,ORD-2687,Quality Issue,2024-05-30,55,203.43,5%,"9,566.30"
RET-1789,ORD-2224,Damaged,2024-06-14,93,153.41,5%,"12,198.40"
RET-1853,ORD-2238,Damaged,2024-01-20,11,83.48,10%,743.81
RET-1854,ORD-2631,Damaged,2024-05-30,47,478.49,5%,"19,228.12"
RET-823,ORD-2700,Quality Issue,2024-11-26,31,619.18,0%,"17,275.12"
RET-1679,ORD-2702,Quality Issue,2024-04-20,83,438.16,20%,"26,184.44"
RET-525,ORD-2703,Damaged,2024-10-14,19,601.32,15%,"8,740.19"
RET-227,ORD-2710,Late Delivery,2024-03-11,51,27.09,20%,994.74
RET-150,ORD-2712,Wrong Item,2024-10-28,62,664.69,15%,"31,526.25"
RET-1504,ORD-2718,Quality Issue,2024-11-03,20,258.47,15%,"3,954.59"
RET-612,ORD-2723,Late Delivery,2024-10-04,40,566.65,0%,"20,399.40"
RET-1591,ORD-2724,Damaged,2024-09-17,88,141.90,15%,"9,552.71"
RET-213,ORD-2731,Wrong Item,2024-07-12,77,332.17,5%,"21,868.41"
RET-1592,ORD-2733,Wrong Item,2024-12-30,79,349.03,10%,"22,334.43"
RET-741,ORD-2750,Quality Issue,2024-07-25,32,370.94,15%,"9,080.61"
RET-881,ORD-2759,Damaged,2024-05-13,37,358.18,15%,"10,138.28"
RET-807,ORD-2790,Late Delivery,2024-09-15,89,474.20,0%,"37,983.42"
RET-197,ORD-2792,Wrong Item,2024-12-31,46,646.65,5%,"25,432.74"
RET-913,ORD-2809,Quality Issue,2024-07-31,1,519.23,10%,420.58
RET-1029,ORD-2816,Quality Issue,2024-02-04,18,798.37,0%,"12,933.59"
RET-497,ORD-2819,Wrong Item,2024-12-31,22,722.69,0%,"14,309.26"
RET-1209,ORD-2824,Damaged,2024-04-06,66,203.81,5%,"11,501.00"
RET-1306,ORD-2854,Quality Issue,2024-12-29,65,458.95,10%,"24,163.72"
RET-996,ORD-2861,Wrong Item,2024-04-27,85,96.95,10%,"6,675.01"
RET-1052,ORD-2869,Damaged,2024-04-05,36,219.51,20%,"5,689.70"
RET-1678,ORD-2878,Wrong Item,2024-07-22,43,665.59,10%,"23,182.50"
RET-583,ORD-2881,Quality Issue,2024-04-29,91,156.81,15%,"10,916.33"
RET-673,ORD-2899,Quality Issue,2024-12-31,70,604.12,15%,"32,350.63"
RET-198,ORD-2914,Wrong Item,2024-07-19,35,592.05,0%,"18,649.58"
RET-957,ORD-2915,Late Delivery,2024-12-31,12,572.09,15%,"5,251.79"
RET-1463,ORD-2935,Damaged,2024-12-24,72,790.38,15%,"43,534.13"
RET-1502,ORD-2936,Quality Issue,2024-02-05,3,57.82,5%,148.31
RET-348,ORD-2948,Wrong Item,2024-02-26,37,293.26,15%,"8,300.72"
RET-1276,ORD-2955,Damaged,2024-11-20,26,162.72,20%,"3,046.12"
RET-1966,ORD-2960,Quality Issue,2024-10-31,28,16.50,20%,332.64
RET-1629,ORD-2972,Quality Issue,2024-08-07,51,278.07,15%,"10,848.90"
RET-850,ORD-2978,Quality Issue,2024-09-23,12,705.29,20%,"6,093.71"
RET-1032,ORD-3017,Late Delivery,2024-03-23,19,557.32,10%,"8,577.15"
RET-1562,ORD-3041,Wrong Item,2024-12-31,78,356.14,10%,"22,500.93"
RET-56,ORD-3047,Late Delivery,2024-05-12,38,270.29,5%,"8,781.72"
RET-1500,ORD-3048,Wrong Item,2024-03-08,83,37.82,0%,"2,825.15"
RET-688,ORD-3059,Quality Issue,2024-11-25,59,625.33,15%,"28,224.27"
RET-1974,ORD-3083,Quality Issue,2024-07-13,41,491.27,20%,"14,502.29"
RET-703,ORD-3094,Wrong Item,2024-05-15,13,42.87,5%,476.50
RET-1704,ORD-3097,Wrong Item,2024-12-31,82,694.01,20%,"40,974.35"
RET-1203,ORD-3112,Quality Issue,2024-09-13,27,137.37,0%,"3,338.09"
RET-763,ORD-3117,Quality Issue,2024-02-02,20,544.38,5%,"9,308.90"
RET-409,ORD-3118,Late Delivery,2024-07-07,93,798.37,10%,"60,141.21"
RET-434,ORD-3120,Damaged,2024-12-21,90,107.78,5%,"8,293.67"
RET-1532,ORD-3122,Late Delivery,2024-06-09,75,490.93,15%,"28,167.11"
RET-1620,ORD-3137,Wrong Item,2024-10-30,39,160.93,20%,"4,518.91"
RET-838,ORD-3150,Damaged,2024-07-06,95,823.25,15%,"59,829.69"
RET-1106,ORD-3151,Damaged,2024-03-13,30,217.09,15%,"4,982.22"
RET-543,ORD-3166,Quality Issue,2024-04-23,44,682.32,5%,"25,668.88"
RET-1757,ORD-3168,Damaged,2024-10-30,92,622.34,5%,"48,953.26"
RET-1335,ORD-3171,Damaged,2024-11-06,27,555.91,0%,"13,508.61"
RET-2000,ORD-3173,Wrong Item,2024-04-23,97,288.26,0%,"25,165.10"
RET-341,ORD-3187,Late Delivery,2024-03-31,88,263.89,0%,"20,900.09"
RET-1192,ORD-3191,Wrong Item,2024-06-06,9,374.55,5%,"2,882.16"
RET-531,ORD-3205,Late Delivery,2024-02-26,53,649.60,20%,"24,788.74"
RET-311,ORD-3247,Damaged,2024-12-31,41,86.16,0%,"3,179.30"
RET-1164,ORD-3266,Late Delivery,2024-05-25,84,92.08,20%,"5,569.00"
RET-369,ORD-3268,Quality Issue,2024-03-02,69,379.59,10%,"21,215.29"
RET-1091,ORD-3281,Quality Issue,2024-10-01,92,350.11,10%,"26,090.20"
RET-468,ORD-3289,Quality Issue,2024-02-27,45,725.88,20%,"23,518.51"
RET-1494,ORD-3293,Quality Issue,2024-11-16,4,552.95,0%,"1,990.62"
RET-1972,ORD-3303,Late Delivery,2024-12-24,16,265.42,20%,"3,057.64"
RET-1856,ORD-3335,Wrong Item,2024-08-28,13,300.95,15%,"2,992.95"
RET-1291,ORD-3336,Wrong Item,2024-10-24,95,514.80,15%,"37,413.09"
RET-9,ORD-3341,Damaged,2024-08-08,86,431.16,5%,"31,703.19"
RET-1761,ORD-3352,Quality Issue,2024-10-20,86,104.91,20%,"6,496.03"
RET-1953,ORD-3360,Quality Issue,2024-12-31,93,566.65,5%,"45,057.17"
RET-1493,ORD-3361,Damaged,2024-09-09,30,501.82,15%,"11,516.77"
RET-1149,ORD-3375,Quality Issue,2024-10-03,80,300.96,20%,"17,335.30"
RET-306,ORD-3388,Quality Issue,2024-10-14,22,258.47,15%,"4,350.05"
RET-104,ORD-3414,Wrong Item,2024-09-15,67,85.91,5%,"4,921.35"
RET-699,ORD-3423,Late Delivery,2024-09-09,23,594.76,15%,"10,464.80"
RET-346,ORD-3437,Wrong Item,2024-10-28,31,497.38,0%,"13,876.90"
RET-496,ORD-3449,Late Delivery,2024-05-13,69,656.54,15%,"34,655.46"
RET-698,ORD-3457,Late Delivery,2024-01-31,20,320.85,20%,"4,620.24"
RET-243,ORD-3459,Wrong Item,2024-03-21,20,203.81,10%,"3,301.72"
RET-1443,ORD-3467,Quality Issue,2024-12-09,59,502.72,0%,"26,694.43"
RET-922,ORD-3498,Quality Issue,2024-06-03,4,826.92,20%,"2,381.53"
RET-1782,ORD-3499,Quality Issue,2024-02-18,95,388.13,10%,"29,866.60"
RET-1092,ORD-3502,Late Delivery,2024-01-28,76,447.15,15%,"25,997.30"
RET-764,ORD-3513,Damaged,2024-12-07,4,85.55,0%,307.98
RET-361,ORD-3522,Late Delivery,2024-03-18,62,416.65,0%,"23,249.07"
